epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,1957.95,0.73418,1.61197,0.69332,1.0246,0,0.84379,0.77066,0.82409,0.60633,0.82648,0.75529,0.79446,0.54369,0.83863,1.89118,0.7231,1.09888,0,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,2003.95,0.72872,1.60195,0.70364,1.03336,0,0.84519,0.76894,0.82497,0.60463,0.82723,0.74717,0.79504,0.54311,0.82542,1.84542,0.71355,1.08743,0,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,2047.26,0.70406,1.52442,0.67648,1.01905,0,0.85689,0.76322,0.81735,0.59819,0.83493,0.74191,0.78584,0.53429,0.83611,1.91106,0.72766,1.09748,0,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,2085.5,0.7134,1.58707,0.67783,1.03221,0,0.82377,0.77135,0.8092,0.58767,0.81442,0.75373,0.78349,0.53336,0.83568,1.8356,0.73145,1.09679,0,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,2123.45,0.70735,1.55062,0.67602,1.02161,0,0.8571,0.75665,0.82504,0.60393,0.84586,0.73015,0.78858,0.53973,0.82811,1.93136,0.72019,1.09495,0,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,2161.39,0.71293,1.55954,0.683,1.01213,0,0.84307,0.78256,0.8315,0.60496,0.83185,0.75818,0.79921,0.54176,0.82806,1.89517,0.7209,1.091,0,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,2199.26,0.72561,1.58778,0.67615,1.02223,0,0.84852,0.78196,0.8302,0.60586,0.82462,0.75902,0.79237,0.53881,0.83135,1.87175,0.70868,1.09868,0,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,2236.78,0.70154,1.53596,0.66968,1.01534,0,0.83433,0.78778,0.82376,0.60137,0.82657,0.75591,0.78645,0.53875,0.83123,1.90394,0.72386,1.09364,0,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,2274.43,0.71565,1.57938,0.67299,1.02411,0,0.84543,0.76735,0.82276,0.60133,0.82822,0.74879,0.79346,0.53722,0.83055,1.92076,0.71407,1.09203,0,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,2312.16,0.69789,1.53339,0.65696,1.01919,0,0.81674,0.76978,0.8147,0.59423,0.80938,0.73956,0.78895,0.54077,0.8375,1.9177,0.73986,1.09704,0,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,2350.34,0.70267,1.54641,0.65032,1.01791,0,0.82338,0.78043,0.8243,0.60375,0.84696,0.72771,0.79731,0.53975,0.83394,1.92731,0.74407,1.09866,0,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,2387.9,0.69142,1.49769,0.64162,1.01452,0,0.85111,0.76602,0.81394,0.59675,0.83627,0.74659,0.79124,0.53829,0.83495,1.95215,0.72511,1.09668,0,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,2425.64,0.69465,1.51726,0.64804,1.01324,0,0.85717,0.76953,0.81729,0.59651,0.84485,0.75074,0.79135,0.53969,0.84098,1.908,0.73065,1.09549,0,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,2463.42,0.69132,1.53042,0.64496,1.01448,0,0.84426,0.7526,0.81485,0.59884,0.8335,0.74461,0.79374,0.5381,0.8406,1.88314,0.73561,1.09654,0,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,2501.39,0.69999,1.50849,0.63688,1.00769,0,0.83113,0.77915,0.82515,0.60687,0.81538,0.76548,0.79685,0.54318,0.83106,1.85731,0.71887,1.08913,0,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,2538.85,0.68889,1.49146,0.63729,1.00299,0,0.85769,0.74795,0.81488,0.59686,0.83999,0.73269,0.78837,0.53352,0.83804,1.90983,0.72771,1.10406,0,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,2576.38,0.70158,1.5363,0.64344,1.00696,0,0.82379,0.77104,0.81313,0.596,0.81125,0.75568,0.78554,0.53903,0.84525,1.92155,0.72553,1.11098,0,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,2614.01,0.70174,1.54403,0.64043,1.00775,0,0.82977,0.77765,0.82081,0.6077,0.80581,0.7608,0.78782,0.54368,0.82732,1.91744,0.70992,1.09974,0,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,2652.06,0.6663,1.45559,0.61581,1.00113,0,0.83177,0.76717,0.81583,0.60336,0.82411,0.75123,0.79053,0.54438,0.83336,1.93866,0.71808,1.09759,0,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,2689.6,0.70052,1.50699,0.61972,1.00237,0,0.83921,0.75803,0.82172,0.60318,0.82,0.7415,0.78961,0.54331,0.83193,1.90104,0.71229,1.09333,0,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,2726.93,0.67235,1.49887,0.60936,1.00056,0,0.8502,0.76241,0.82285,0.60456,0.84412,0.74481,0.79276,0.54634,0.83147,1.92978,0.71029,1.09362,0,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,2764.17,0.67753,1.49394,0.61171,1.00703,0,0.83894,0.77105,0.82659,0.60418,0.83529,0.74542,0.79626,0.5476,0.82992,1.90171,0.69852,1.09404,0,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,2801.64,0.67213,1.47724,0.60938,0.99897,0,0.86522,0.75813,0.83113,0.60989,0.84845,0.74093,0.799,0.55168,0.84017,1.93101,0.70729,1.10156,0,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,2839.25,0.67565,1.47479,0.60556,0.99603,0,0.84421,0.76043,0.82129,0.5979,0.84407,0.73749,0.78978,0.54086,0.83557,1.95036,0.72524,1.10021,0,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
